Ring_ID,Transponder ,colour rings ,Aviary_out ,Aviary_in,betweenness,closeness,degree,sex ,cohort ,age ,round,SN,vb,hb,avb,ahb
317,000783C25E,SS/MS,1,1,0,0.1666667,4,F,2012,6,1,1,,,,
650,0007ACB9B7,X/MP,1,1,0,0.125,2,F,2014,4,1,1,,,,
346,00783C04D,RR/RM,4,1,0.25,0.2,5,F,2012,6,1,2,,,,
528,0007ACD192,BB/M,4,1,0.25,0.2,5,F,2013,5,1,2,,,,
682,00078394D9,ME/PL,4,1,0,0.166667,4,F,2014,4,1,2,,,,
320,0007B04C31,BB/MB,16,1,0.7,0.1,6,F,2012,6,1,6,,,,
625,0007838EE2,HH/MH,16,1,1,0.090909,5,F,2014,4,1,6,,,,
712,0007B0493E,OO/MO,4,1,0.25,0.2,5,M,2014,4,1,2,47.1,46.5,47.46666667,46.56666667
712,0007B0493E,OO/MO,4,1,0.25,0.2,5,M,2014,4,1,2,47.6,46,,
712,0007B0493E,OO/MO,4,1,0.25,0.2,5,M,2014,4,1,2,47.7,47.2,,
609,00079D4DD3,BB/MB,7,1,2,0.333333,3,M,2014,4,1,3,40.5,36,40.26666667,34.4
609,00079D4DD3,BB/MB,7,1,2,0.333333,3,M,2014,4,1,3,40.2,33.5,,
609,00079D4DD3,BB/MB,7,1,2,0.333333,3,M,2014,4,1,3,40.1,33.7,,
250,000783A8B7,NN/MN,7,1,0,0.25,2,M,2010,8,1,3,32.5,29.1,32.93333333,29
250,000783A8B7,NN/MN,7,1,0,0.25,2,M,2010,8,1,3,33,29.4,,
250,000783A8B7,NN/MN,7,1,0,0.25,2,M,2010,8,1,3,33.3,28.5,,
718,0007ACD286,HH/MH,10,1,0,0.25,2,M,2014,4,1,4,44,39.8,42.66666667,39.73333333
718,0007ACD286,HH/MH,10,1,0,0.25,2,M,2014,4,1,4,42.5,39.9,,
718,0007ACD286,HH/MH,10,1,0,0.25,2,M,2014,4,1,4,41.5,39.5,,
617,000783C8E4,DD/MD,13,1,0,0.142857,1,M,2014,4,1,5,41.5,39,41.26666667,38.8
617,000783C8E4,DD/MD,13,1,0,0.142857,1,M,2014,4,1,5,41.3,38.9,,
617,000783C8E4,DD/MD,13,1,0,0.142857,1,M,2014,4,1,5,41,38.5,,
694,0007B0F2C5,CC/CM,16,1,2.783333,0.125,8,M,2014,4,1,6,39.8,35.2,39.3,35.1
694,0007B0F2C5,CC/CM,16,1,2.783333,0.125,8,M,2014,4,1,6,39,35,,
694,0007B0F2C5,CC/CM,16,1,2.783333,0.125,8,M,2014,4,1,6,39.1,35.1,,
655,0007AC92A2,XX/MX,19,1,0,0.333333,1,M,2014,4,1,7,40.2,37.7,39.83333333,37.66666667
655,0007AC92A2,XX/MX,19,1,0,0.333333,1,M,2014,4,1,7,39.4,37.5,,
655,0007AC92A2,XX/MX,19,1,0,0.333333,1,M,2014,4,1,7,39.9,37.8,,
322,0007ACC242,RV/MR,1,4,0,0,0,F,2012,6,1,1,,,,
656,0007ACDAC3,VV/MV,4,4,0,0,0,F,2014,4,1,2,,,,
263,0007B0C62E,PP/MP,7,4,0,0,0,F,2010,8,1,3,,,,
502,0007B019EF,RR/MR,7,4,0,0,0,F,2013,5,1,3,,,,
490,00079D5009,HH/MH,13,4,0,0,0,F,2007,11,1,5,,,,
384,00079D5186,CM/CC,16,4,0,0,0,F,2013,5,1,6,,,,
398,000783C204,EM/EE,16,4,0,0,0,F,2013,5,1,6,,,,
647,0007AFE48F,XX/XM,16,4,0,0,0,F,2014,4,1,6,,,,
378,000783A7E6,OO/MO,22,4,0,0,0,F,2013,5,1,8,,,,
389,0007ACD92B,BM/BB,4,4,0,0,0,M,2013,5,1,2,45.2,39,45.36666667,39.06666667
389,0007ACD92B,BM/BB,4,4,0,0,0,M,2013,5,1,2,45.6,39.5,,
389,0007ACD92B,BM/BB,4,4,0,0,0,M,2013,5,1,2,45.3,38.7,,
396,0007ACD040,YM/YY,4,4,0,0,0,M,2013,5,1,2,47.1,36.5,47.33333333,38.3
396,0007ACD040,YM/YY,4,4,0,0,0,M,2013,5,1,2,47.5,39.1,,
396,0007ACD040,YM/YY,4,4,0,0,0,M,2013,5,1,2,47.4,39.3,,
284,0007AC9993,DD/MD,10,4,0,0,0,M,2010,8,1,4,39.9,37.5,40.83333333,36.86666667
284,0007AC9993,DD/MD,10,4,0,0,0,M,2010,8,1,4,41.1,36.7,,
284,0007AC9993,DD/MD,10,4,0,0,0,M,2010,8,1,4,41.5,36.4,,
258,0007B0C85F,RR/MR,13,4,0,0,0,M,2010,8,1,5,39.5,38,39.8,38.1
258,0007B0C85F,RR/MR,13,4,0,0,0,M,2010,8,1,5,39.9,38.1,,
258,0007B0C85F,RR/MR,13,4,0,0,0,M,2010,8,1,5,40,38.2,,
298,0007ABAEC7,NN/MN,13,4,0,0,0,M,2010,8,1,5,44.3,37.6,43.63333333,37.3
298,0007ABAEC7,NN/MN,13,4,0,0,0,M,2010,8,1,5,43.5,37.2,,
298,0007ABAEC7,NN/MN,13,4,0,0,0,M,2010,8,1,5,43.1,37.1,,
393,0007AC4FB1,MS/SS,16,4,0,0,0,M,2013,5,1,6,40.5,36.6,40.9,36.46666667
393,0007AC4FB1,MS/SS,16,4,0,0,0,M,2013,5,1,6,41.2,36.3,,
393,0007AC4FB1,MS/SS,16,4,0,0,0,M,2013,5,1,6,41,36.5,,
506,0007B0F51D,SR/DM,1,7,0,0,0,F,2013,5,1,1,,,,
508,0007B0F2B3,ME/CE,1,7,0,0,0,F,2013,5,1,1,,,,
537,0007AC3886,BB/MB,7,7,0,0,0,F,2013,5,1,3,,,,
524,0007ACBDD4,MX/XX,10,7,0,0,0,F,2013,5,1,4,,,,
517,0007AC2B31,ME/EE,13,7,0,0,0,F,2013,5,1,5,,,,
532,0007ACC57C,OO/MO,16,7,0,0,0,F,2013,5,1,6,,,,
556,0007B0ED87,MS/SS,16,7,0,0,0,F,2013,5,1,6,,,,
546,000783DBAA,DW/MH,22,7,0,0,0,F,2013,5,1,8,,,,
507,0007AFE2EB,DD/MD,7,7,0,0,0,M,2013,5,1,3,45.2,41.1,45.16666667,41.46666667
507,0007AFE2EB,DD/MD,7,7,0,0,0,M,2013,5,1,3,45.4,42.5,,
507,0007AFE2EB,DD/MD,7,7,0,0,0,M,2013,5,1,3,44.9,40.8,,
616,0007AC8F5B,RR/RM,16,7,0,0,0,M,2014,4,1,6,40.3,38,40.43333333,37.83333333
616,0007AC8F5B,RR/RM,16,7,0,0,0,M,2014,4,1,6,40.6,37.7,,
616,0007AC8F5B,RR/RM,16,7,0,0,0,M,2014,4,1,6,40.4,37.8,,
513,0007ACD2C0,VM/VV,19,7,0,0,0,M,2013,5,1,7,37,35,37.46666667,35.2
513,0007ACD2C0,VM/VV,19,7,0,0,0,M,2013,5,1,7,37.9,35.2,,
513,0007ACD2C0,VM/VV,19,7,0,0,0,M,2013,5,1,7,37.5,35.4,,
544,0007ACE17C,WW/MW,19,7,0,0,0,M,2013,5,1,7,44.3,39.7,43.46666667,39.1
544,0007ACE17C,WW/MW,19,7,0,0,0,M,2013,5,1,7,44.1,38.6,,
544,0007ACE17C,WW/MW,19,7,0,0,0,M,2013,5,1,7,42,39,,
503,0007B0EE2D,CC/MC,22,7,0,0,0,M,2013,5,1,8,42.4,37.1,41.7,37
503,0007B0EE2D,CC/MC,22,7,0,0,0,M,2013,5,1,8,41.4,36.9,,
503,0007B0EE2D,CC/MC,22,7,0,0,0,M,2013,5,1,8,41.3,37,,
536,000783CF1A,OO/OM,22,7,0,0,0,M,2013,5,1,8,37.5,34.7,37.3,35.36666667
536,000783CF1A,OO/OM,22,7,0,0,0,M,2013,5,1,8,36.9,34.5,,
536,000783CF1A,OO/OM,22,7,0,0,0,M,2013,5,1,8,37.5,36.9,,
603,0007AC6907,SS/MS,22,7,0,0,0,M,2014,4,1,8,37.7,36.2,37.63333333,35.96666667
603,0007AC6907,SS/MS,22,7,0,0,0,M,2014,4,1,8,37.4,36,,
603,0007AC6907,SS/MS,22,7,0,0,0,M,2014,4,1,8,37.8,35.7,,
573,0007AC3886,MY/YY,4,10,0,0,0,F,2014,4,1,2,,,,
293,0007ABAE1D,VV/VM,10,10,0,0,0,F,2010,8,1,4,,,,
331,0007ACC7F7,NN/MN,10,10,0,0,0,F,2012,6,1,4,,,,
589,0007ACE29F,MW/WW,10,10,0,0,0,F,2013,5,1,4,,,,
347,0007ACC752,OO/OM,13,10,0,0.2,3,F,2012,6,1,5,,,,
599,000783B3B0,PP/MP,16,10,1.45,0.111111,7,F,2013,5,1,6,,,,
596,0007AFE407,MD/DD,16,10,0,0,0,F,2013,5,1,6,,,,
598,000783D215,BM/BB,19,10,0,0,0,F,2013,5,1,7,,,,
660,0007ACZAE0,LL/ML,19,10,0,0,0,F,2014,4,1,7,,,,
678,000783EF84,RR/MR,1,10,0,0.166667,4,M,2018,0,1,1,36.9,31.5,37.9,31.9
678,000783EF84,RR/MR,1,10,0,0.166667,4,M,2018,0,1,1,38.5,31.6,,
678,000783EF84,RR/MR,1,10,0,0.166667,4,M,2018,0,1,1,38.3,32.6,,
575,0007839C52,EE/ME,7,10,0,0,0,M,2013,5,1,3,43,41.9,42.9,41.86666667
575,0007839C52,EE/ME,7,10,0,0,0,M,2013,5,1,3,42.5,42,,
575,0007839C52,EE/ME,7,10,0,0,0,M,2013,5,1,3,43.2,41.7,,
278,0007ACD237,NN/MN,10,10,0.5,0.333333,3,M,2010,8,1,4,43.8,39.9,43.2,40.4
278,0007ACD237,NN/MN,10,10,0.5,0.333333,3,M,2010,8,1,4,42.2,40.8,,
278,0007ACD237,NN/MN,10,10,0.5,0.333333,3,M,2010,8,1,4,43.6,40.5,,
254,00078397BE,VV/MV,10,10,0,0,0,M,2010,8,1,4,43.4,41.5,44.1,41.23333333
254,00078397BE,VV/MV,10,10,0,0,0,M,2010,8,1,4,44.6,41.2,,
254,00078397BE,VV/MV,10,10,0,0,0,M,2010,8,1,4,44.3,41,,
541,0007AC6326,MH/HH,16,10,0.833333,0.090909,5,M,2014,4,1,6,39.9,36.6,40.16666667,36.93333333
541,0007AC6326,MH/HH,16,10,0.833333,0.090909,5,M,2014,4,1,6,40.2,36.8,,
541,0007AC6326,MH/HH,16,10,0.833333,0.090909,5,M,2014,4,1,6,40.4,37.4,,
562,0007839D45,MC/CC,19,10,0,0,0,M,2013,5,1,7,39.4,35.5,38.2,33.93333333
562,0007839D45,MC/CC,19,10,0,0,0,M,2013,5,1,7,38.7,33.3,,
562,0007839D45,MC/CC,19,10,0,0,0,M,2013,5,1,7,36.5,33,,
334,0007AFE135,DC/MC,22,10,0,0,0,M,2014,4,1,8,41.3,37,39.83333333,36.73333333
605,0007AC2770,DC/MC,22,10,0,0,0,M,2014,4,1,8,38.9,36.9,,
629,0007AC80C0,DC/MC,22,10,0,0,0,M,2014,4,1,8,39.3,36.3,,
654,0007B017A6,EE/ME,1,13,0,0,0,F,2012,6,1,1,,,,
394,0007B0C693,LW/MC,1,13,0,0,0,F,2014,4,1,1,,,,
658,0007AFDEF7,ER/MB,1,13,0,0,0,F,2014,4,1,1,,,,
635,0007ABB40D,WP/PM,1,13,0,0,0,F,2014,4,1,1,,,,
608,0007AC208D,CC/MC,10,13,0,0,0,F,2013,5,1,4,,,,
659,0007ABD4C1,OO/MO,10,13,0,0,0,F,2014,4,1,4,,,,
659,0007ABD4C1,RR/MR,19,13,0,0,0,F,2014,4,1,7,,,,
659,0007ABD4C1,PP/MP,22,13,0,0,0,F,2014,4,1,8,,,,
549,000783BFB7,WW/WM,4,13,0,0,0,M,2014,4,1,2,40.1,38.2,41.33333333,38.8
549,000783BFB7,WW/WM,4,13,0,0,0,M,2014,4,1,2,42.7,38.4,,
549,000783BFB7,WW/WM,4,13,0,0,0,M,2014,4,1,2,41.2,39.8,,
642,000783B4F3,MC/CC,10,13,0,0,0,M,2013,5,1,4,41.2,37.7,40.56666667,38.03333333
642,000783B4F3,MC/CC,10,13,0,0,0,M,2013,5,1,4,41,38.3,,
642,000783B4F3,MC/CC,10,13,0,0,0,M,2013,5,1,4,39.5,38.1,,
255,0007B04908,PP/MP,10,13,0,0,0,M,2014,4,1,4,39.3,34.5,39.56666667,34.23333333
255,0007B04908,PP/MP,10,13,0,0,0,M,2014,4,1,4,39.5,34.2,,
255,0007B04908,PP/MP,10,13,0,0,0,M,2014,4,1,4,39.9,34,,
519,000783E0B3,WW/MW,10,13,0,0,0,M,2010,8,1,4,42.3,39.9,41.86666667,39.63333333
519,000783E0B3,WW/MW,10,13,0,0,0,M,2010,8,1,4,42.2,39.6,,
519,000783E0B3,WW/MW,10,13,0,0,0,M,2010,8,1,4,41.1,39.4,,
652,00078395C8,VM/VV,13,13,0,0,0,M,2013,5,1,5,39.5,38,40,37.66666667
652,00078395C8,VM/VV,13,13,0,0,0,M,2013,5,1,5,40.2,37.8,,
652,00078395C8,VM/VV,13,13,0,0,0,M,2013,5,1,5,40.3,37.2,,
728,000783E51D,EE/ME,22,13,0,0,0,M,2014,4,1,8,39.6,37.4,39.5,37.2
707,0007B0C904,EE/ME,22,13,0,0,0,M,2014,4,1,8,38.9,37.2,,
583,0007AC8F78,EE/ME,22,13,0,0,0,M,2014,4,1,8,40,37,,
683,0007ABB45D,LP/MP,1,16,0,0,0,F,2014,4,1,1,,,,
691,0007B045D8,CM/NN,1,16,0,0,0,F,2014,4,1,1,,,,
723,000783C77F,OO/MO,4,16,0,0,0,F,2014,4,1,2,,,,
727,0007AB9F6A,BB/DM,4,16,0,0,0,F,2014,4,1,2,,,,
630,000783DDDC,XX/MX,13,16,0,0,0,F,2014,4,1,5,,,,
703,0007ACD485,CC/CM,16,16,0,0,0,F,2014,4,1,6,,,,
666,0007ACC304,PP/MP,19,16,0,0,0,F,2014,4,1,7,,,,
666,0007ACC304,EE/EM,22,16,0,0,0,F,2014,4,1,8,,,,
666,0007ACC304,DD/DM,22,16,0,0,0,F,2014,4,1,8,,,,
665,0007AC512E,RR/MR,7,16,0,0,0,M,2017,1,1,3,40.5,38.7,39.66666667,38.63333333
665,0007AC512E,RR/MR,7,16,0,0,0,M,2017,1,1,3,39.3,38.2,,
665,0007AC512E,RR/MR,7,16,0,0,0,M,2017,1,1,3,39.2,39,,
699,0007B046BA,WW/MW,13,16,0,0,0,M,2014,4,1,5,39.3,38.6,39.76666667,38.36666667
699,0007B046BA,WW/MW,13,16,0,0,0,M,2014,4,1,5,39.9,38.3,,
699,0007B046BA,WW/MW,13,16,0,0,0,M,2014,4,1,5,40.1,38.2,,
706,0007AFDFC5,EE/ME,13,16,0,0,0,M,2014,4,1,5,38.6,37.1,39.43333333,36.93333333
706,0007AFDFC5,EE/ME,13,16,0,0,0,M,2014,4,1,5,40,37.3,,
706,0007AFDFC5,EE/ME,13,16,0,0,0,M,2014,4,1,5,39.7,36.4,,
709,0007AC2B4F,VY/MX,19,16,0,0,0,M,2014,4,1,7,38.6,36.4,38.56666667,36.3
709,0007AC2B4F,VY/MX,19,16,0,0,0,M,2014,4,1,7,38.5,36.3,,
709,0007AC2B4F,VY/MX,19,16,0,0,0,M,2014,4,1,7,38.6,36.2,,
716,0007ACDA5A,CC/MD,19,16,0,0,0,M,2014,4,1,7,44.6,40.3,43.7,40.06666667
716,0007ACDA5A,CC/MD,19,16,0,0,0,M,2014,4,1,7,43.9,40,,
716,0007ACDA5A,CC/MD,19,16,0,0,0,M,2014,4,1,7,42.6,39.9,,
324,0007AC386F,CN/MC,1,19,0,0.166667,4,F,2012,6,1,1,,,,
719,000783A448,EE/ME,4,19,0.25,0.2,5,F,2014,4,1,2,,,,
594,0007B01CE3,DD/MD,10,19,0,0.25,2,F,2013,5,1,4,,,,
714,7839667,CC/MC,13,19,0,0.2,3,F,2014,4,1,5,,,,
527,0007ACE488,SS/MS,19,19,1,0.5,2,F,2013,5,1,7,,,,
395,0007AC388E,M/W,19,19,0,0.33333,1,F,2013,5,1,7,,,,
253,00079D5182,VV/MV,4,19,0,0.16667,4,M,2010,8,1,2,37.3,32.8,37.3,32.46666667
253,00079D5182,VV/MV,4,19,0,0.16667,4,M,2010,8,1,2,37.7,31.3,,
253,00079D5182,VV/MV,4,19,0,0.16667,4,M,2010,8,1,2,36.9,33.3,,
332,0007AC60AD,CC/CM,7,19,0,0.2,1,M,2012,6,1,3,43,40.8,43.43333333,40.36666667
332,0007AC60AD,CC/CM,7,19,0,0.2,1,M,2012,6,1,3,44,40.1,,
332,0007AC60AD,CC/CM,7,19,0,0.2,1,M,2012,6,1,3,43.3,40.2,,
730,0007AC3EDE,XX/MX,10,19,0.5,0.333333,3,M,2014,4,1,4,41,40.1,41.7,39.8
730,0007AC3EDE,XX/MX,10,19,0.5,0.333333,3,M,2014,4,1,4,41.6,39.8,,
730,0007AC3EDE,XX/MX,10,19,0.5,0.333333,3,M,2014,4,1,4,42.5,39.5,,
548,0007AC2039,WW/WM,16,19,1.45,0.111111,7,M,2013,5,1,6,38.7,35,38.3,35.2
548,0007AC2039,WW/WM,16,19,1.45,0.111111,7,M,2013,5,1,6,37.9,35.2,,
548,0007AC2039,WW/WM,16,19,1.45,0.111111,7,M,2013,5,1,6,38.3,35.4,,
581,0007ABB698,MD/DD,16,19,0.25,0.090909,5,M,2013,5,1,6,41.3,37.5,41.46666667,37.73333333
581,0007ABB698,MD/DD,16,19,0.25,0.090909,5,M,2013,5,1,6,41.5,37.6,,
581,0007ABB698,MD/DD,16,19,0.25,0.090909,5,M,2013,5,1,6,41.6,38.1,,
623,0007AB9DDE,EE/EM,16,19,0.7,0.083333,4,M,2014,4,1,6,44.5,38.1,42.66666667,38.2
623,0007AB9DDE,EE/EM,16,19,0.7,0.083333,4,M,2014,4,1,6,41.9,38.5,,
623,0007AB9DDE,EE/EM,16,19,0.7,0.083333,4,M,2014,4,1,6,41.6,38,,
698,0007B01AEF,LL/ML,16,19,0,0.333333,1,M,2014,4,1,6,43.6,37.5,44.13333333,37.2
698,0007B01AEF,LL/ML,16,19,0,0.333333,1,M,2014,4,1,6,44.5,37,,
698,0007B01AEF,LL/ML,16,19,0,0.333333,1,M,2014,4,1,6,44.3,37.1,,
